Timestamp,Leader_X,Leader_Y,Leader_Z,Follower_X,Follower_Y,Follower_Z,ScenarioId
2025-12-24T08:34:41.4792545Z,-0.329706,0.021737,0.166542,0.293413,0.042757,0.410042,0
2025-12-24T08:34:41.5410273Z,-0.330037,0.022236,0.166726,0.293269,0.042894,0.410129,0
2025-12-24T08:34:41.6017814Z,-0.329195,0.021783,0.166171,0.293189,0.042968,0.410219,0
2025-12-24T08:34:41.6630530Z,-0.329408,0.022247,0.16655,0.293305,0.042896,0.410376,0
2025-12-24T08:34:41.7269296Z,-0.330238,0.023585,0.167709,0.29355,0.042746,0.410845,0
2025-12-24T08:34:41.7922821Z,-0.329878,0.024043,0.169406,0.294207,0.042745,0.411695,0
2025-12-24T08:34:41.8512325Z,-0.330038,0.025063,0.171996,0.295405,0.042541,0.41306,0
2025-12-24T08:34:41.9150966Z,-0.347025,0.039503,0.185054,0.29778,0.042287,0.416384,0
2025-12-24T08:34:41.9764018Z,-0.349204,0.042605,0.186643,0.286709,-0.00384,0.352854,0
2025-12-24T08:34:42.0390109Z,-0.349652,0.045718,0.18895,0.287886,-0.003133,0.355082,0
2025-12-24T08:34:42.1015321Z,-0.34659,0.047519,0.190612,0.289481,-0.002193,0.356992,0
2025-12-24T08:34:42.1635608Z,-0.34231,0.049423,0.193429,0.291387,-0.000894,0.358725,0
2025-12-24T08:34:42.2257764Z,-0.337177,0.051902,0.197286,0.293893,0.000479,0.359669,0
2025-12-24T08:34:42.2898389Z,-0.332194,0.05432,0.199403,0.29684,0.001651,0.359434,0
2025-12-24T08:34:42.3516165Z,-0.323739,0.058266,0.201606,0.300788,0.002682,0.357326,0
2025-12-24T08:34:42.4139986Z,-0.286935,0.052508,0.195602,0.303133,0.003377,0.355493,0
2025-12-24T08:34:42.4759227Z,-0.328796,0.078258,0.20996,0.304863,0.003681,0.354099,0
2025-12-24T08:34:42.5389248Z,-0.327754,0.078252,0.210246,0.306809,0.003706,0.352749,0
2025-12-24T08:34:42.6005063Z,-0.277363,0.076911,0.196866,0.314882,0.003737,0.35468,0
2025-12-24T08:34:42.6645232Z,-0.306527,0.094651,0.224077,0.318651,0.004071,0.358996,0
2025-12-24T08:34:42.7270212Z,-0.305998,0.095654,0.224731,0.153801,0.125854,0.328549,0
2025-12-24T08:34:42.7892483Z,-0.340395,0.13047,0.270983,0.157037,0.178489,0.357414,0
2025-12-24T08:34:42.8539877Z,-0.334181,0.137593,0.277945,0.160463,0.17536,0.386378,0
2025-12-24T08:34:42.9155214Z,-0.32003,0.155761,0.295844,0.16325,0.182301,0.411916,0
2025-12-24T08:34:42.9769670Z,-0.320126,0.158065,0.298929,0.167057,0.196681,0.420054,0
2025-12-24T08:34:43.0379277Z,-0.3189,0.169639,0.309765,0.171001,0.201284,0.43828,0
2025-12-24T08:34:43.1029208Z,-0.31695,0.187004,0.328532,0.171868,0.207204,0.45487,0
2025-12-24T08:34:43.1646008Z,-0.318989,0.195431,0.342485,0.171444,0.210625,0.467135,0
2025-12-24T08:34:43.2258450Z,-0.321465,0.204096,0.357446,0.169828,0.212385,0.477081,0
2025-12-24T08:34:43.2884322Z,-0.365934,0.231826,0.412045,0.167423,0.215869,0.483888,0
2025-12-24T08:34:43.3510776Z,-0.367497,0.23345,0.417939,0.164622,0.218075,0.491054,0
2025-12-24T08:34:43.4128677Z,-0.317477,0.240478,0.412306,0.161828,0.221529,0.498436,0
2025-12-24T08:34:43.4753068Z,-0.318265,0.240806,0.412885,0.162262,0.221897,0.502032,0
2025-12-24T08:34:43.5375920Z,-0.323568,0.243145,0.421062,0.16268,0.223474,0.511875,0
2025-12-24T08:34:43.6015203Z,-0.281253,0.235252,0.401956,0.163554,0.225677,0.523625,0
2025-12-24T08:34:43.6634875Z,-0.290308,0.21632,0.424285,0.166522,0.227711,0.537155,0
2025-12-24T08:34:43.7281974Z,-0.291369,0.190983,0.437464,0.195224,0.270164,0.532764,0
2025-12-24T08:34:43.7886601Z,-0.292095,0.191087,0.4553,0.20335,0.270611,0.548495,0
2025-12-24T08:34:43.8528996Z,-0.331489,0.258126,0.49789,0.208208,0.271365,0.571772,0
2025-12-24T08:34:43.9134636Z,-0.293432,0.187367,0.48237,0.202754,0.268375,0.590384,0
2025-12-24T08:34:43.9749707Z,-0.303233,0.234448,0.494035,0.208381,0.267251,0.612184,0
2025-12-24T08:34:44.0407753Z,-0.300999,0.271019,0.505122,0.217934,0.272182,0.626926,0
2025-12-24T08:34:44.1018403Z,-0.336388,0.263104,0.533756,0.215564,0.270945,0.645746,0
2025-12-24T08:34:44.1634537Z,-0.29513,0.249073,0.510444,0.22114,0.274482,0.65292,0
2025-12-24T08:34:44.2264024Z,-0.308066,0.283019,0.552947,0.129448,0.328027,0.557928,0
2025-12-24T08:34:44.2874694Z,-0.299511,0.246489,0.541088,0.125015,0.332285,0.565608,0
2025-12-24T08:34:44.3532218Z,-0.335919,0.244948,0.57789,0.211879,0.274785,0.67922,0
2025-12-24T08:34:44.4137929Z,-0.32954,0.254424,0.603749,0.209669,0.27503,0.685526,0
2025-12-24T08:34:44.4780188Z,-0.286601,0.268606,0.589994,0.208194,0.275594,0.689873,0
2025-12-24T08:34:44.5396910Z,-0.349214,0.276466,0.657307,0.207568,0.27653,0.699562,0
2025-12-24T08:34:44.6038225Z,-0.312664,0.287555,0.65609,0.208963,0.277599,0.71185,0
2025-12-24T08:34:44.6654636Z,-0.353604,0.275803,0.689116,0.210041,0.277545,0.726842,0
2025-12-24T08:34:44.7257021Z,-0.286743,0.298791,0.667938,0.212474,0.276485,0.746052,0
2025-12-24T08:34:44.7907083Z,-0.332434,0.282358,0.707189,0.214253,0.275543,0.771602,0
2025-12-24T08:34:44.8526659Z,-0.304829,0.28981,0.709916,0.21675,0.274972,0.794656,0
2025-12-24T08:34:44.9141334Z,-0.319614,0.284884,0.725569,0.217348,0.272689,0.816539,0
2025-12-24T08:34:44.9768151Z,-0.345514,0.277023,0.741879,0.218148,0.272529,0.825636,0
2025-12-24T08:34:45.0387458Z,-0.34553,0.275392,0.757566,0.219755,0.272325,0.843262,0
2025-12-24T08:34:45.1004967Z,-0.352421,0.268605,0.778563,0.220333,0.272899,0.856718,0
2025-12-24T08:34:45.1654604Z,-0.339577,0.270961,0.79014,0.22055,0.272085,0.866883,0
2025-12-24T08:34:45.2284705Z,-0.343857,0.26659,0.806934,0.218627,0.268986,0.874182,0
2025-12-24T08:34:45.2905814Z,-0.351765,0.259571,0.833167,0.216018,0.265089,0.881175,0
2025-12-24T08:34:45.3508434Z,-0.351765,0.259571,0.833167,0.216018,0.265089,0.881175,0
2025-12-24T08:34:45.4130863Z,-0.354312,0.263884,0.871632,0.216274,0.262703,0.888303,0
2025-12-24T08:34:45.4750587Z,-0.330034,0.256507,0.881557,0.218668,0.260208,0.897084,0
2025-12-24T08:34:45.5397551Z,-0.334543,0.255181,0.889727,0.218485,0.257489,0.909092,0
2025-12-24T08:34:45.6009112Z,-0.336687,0.253072,0.899676,0.219849,0.254838,0.921978,0
2025-12-24T08:34:45.6638272Z,-0.34638,0.250587,0.914829,0.200648,0.223437,0.961921,0
2025-12-24T08:34:45.7251236Z,-0.346148,0.24835,0.917723,0.203511,0.22262,0.96944,0
2025-12-24T08:34:45.7895008Z,-0.347954,0.244802,0.93315,0.208367,0.219186,0.999565,0
2025-12-24T08:34:45.8522250Z,-0.347954,0.244802,0.93315,0.208367,0.219186,0.999565,0
2025-12-24T08:34:45.9202424Z,-0.348285,0.242248,0.940962,0.208705,0.216724,1.014947,0
2025-12-24T08:34:45.9754727Z,-0.340273,0.232561,0.988765,0.214237,0.206807,1.074198,0
2025-12-24T08:34:46.0408145Z,-0.339633,0.22729,0.998736,0.21365,0.205468,1.084093,0
2025-12-24T08:34:46.1031239Z,-0.333941,0.2239,1.021291,0.211281,0.203191,1.099507,0
2025-12-24T08:34:46.1641434Z,-0.331852,0.218833,1.040261,0.20998,0.200588,1.109336,0
2025-12-24T08:34:46.2265378Z,-0.325848,0.214867,1.058545,0.204494,0.197332,1.120401,0
2025-12-24T08:34:46.2899518Z,-0.326431,0.212272,1.07093,0.200521,0.194252,1.128648,0
2025-12-24T08:34:46.3511566Z,-0.329713,0.207669,1.085394,0.196632,0.192165,1.135507,0
2025-12-24T08:34:46.4127216Z,-0.331854,0.204573,1.09795,0.192767,0.189289,1.144208,0
2025-12-24T08:34:46.4769875Z,-0.332752,0.203354,1.10699,0.191467,0.187535,1.150056,0
2025-12-24T08:34:46.5395165Z,-0.337029,0.20052,1.11935,0.189211,0.187508,1.160028,0
2025-12-24T08:34:46.6016612Z,-0.3401,0.196467,1.137408,0.188187,0.185792,1.174108,0
2025-12-24T08:34:46.6637025Z,-0.341282,0.193433,1.155504,0.114492,0.173854,1.11998,0
2025-12-24T08:34:46.7258423Z,-0.342496,0.187318,1.17775,0.119527,0.17247,1.134128,0
2025-12-24T08:34:46.7885232Z,-0.343154,0.179925,1.196872,0.098208,0.188115,1.166138,0
2025-12-24T08:34:46.8532842Z,-0.341293,0.173595,1.218903,0.109493,0.18024,1.185622,0
2025-12-24T08:34:46.9148367Z,-0.337654,0.169357,1.235775,0.133339,0.155964,1.209049,0
2025-12-24T08:34:46.9757313Z,-0.334537,0.167887,1.246906,0.131431,0.155156,1.220243,0
2025-12-24T08:34:47.0389048Z,-0.335236,0.164767,1.261351,0.129183,0.156405,1.239717,0
2025-12-24T08:34:47.1028874Z,-0.335423,0.161591,1.276604,0.10545,0.168504,1.26871,0
2025-12-24T08:34:47.1633713Z,-0.337977,0.158738,1.291348,0.116584,0.153184,1.280579,0
2025-12-24T08:34:47.2254325Z,-0.341184,0.155533,1.302683,0.105237,0.156014,1.296826,0
2025-12-24T08:34:47.2884031Z,-0.342819,0.153189,1.313142,0.090331,0.163711,1.311663,0
2025-12-24T08:34:47.3498621Z,-0.342785,0.150761,1.323389,0.098712,0.154526,1.310273,0
2025-12-24T08:34:47.4138129Z,-0.340195,0.146962,1.338857,0.09981,0.146412,1.317334,0
2025-12-24T08:34:47.4777457Z,-0.339739,0.145329,1.343858,0.099736,0.144481,1.320746,0
2025-12-24T08:34:47.5390400Z,-0.338058,0.139336,1.359432,0.102461,0.138898,1.326069,0
2025-12-24T08:34:47.5999615Z,-0.338045,0.133807,1.374245,0.105247,0.134433,1.334717,0
2025-12-24T08:34:47.6657878Z,-0.33711,0.129839,1.387006,0.102964,0.134398,1.348212,0
2025-12-24T08:34:47.7277710Z,-0.33434,0.12522,1.403075,0.09739,0.134802,1.369871,0
2025-12-24T08:34:47.7900690Z,-0.328657,0.12162,1.419399,0.105094,0.132352,1.379205,0
2025-12-24T08:34:47.8523521Z,-0.327577,0.117583,1.433105,0.103631,0.134531,1.39733,0
2025-12-24T08:34:47.9136809Z,-0.325886,0.115162,1.441775,0.113545,0.127814,1.410626,0
2025-12-24T08:34:47.9764591Z,-0.328297,0.108843,1.453203,0.118781,0.122545,1.416324,0
2025-12-24T08:34:48.0380828Z,-0.327258,0.102237,1.46362,0.111196,0.124796,1.435619,0
2025-12-24T08:34:48.1017232Z,-0.325906,0.098978,1.468685,0.125966,0.112865,1.438437,0
2025-12-24T08:34:48.1635708Z,-0.324846,0.09464,1.476457,0.12749,0.113076,1.442182,0
2025-12-24T08:34:48.2248763Z,-0.325245,0.090419,1.480016,0.149226,0.132702,1.458212,0
2025-12-24T08:34:48.2900005Z,-0.327714,0.082749,1.486889,0.149128,0.130896,1.464372,0
2025-12-24T08:34:48.3516949Z,-0.328604,0.078725,1.489693,0.133803,0.105882,1.453765,0
2025-12-24T08:34:48.4124744Z,-0.329134,0.075846,1.492396,0.141931,0.10178,1.456754,0
2025-12-24T08:34:48.4780043Z,-0.329416,0.070474,1.494069,0.159202,0.119556,1.472031,0
2025-12-24T08:34:48.5397872Z,-0.330135,0.067786,1.495104,0.159364,0.117615,1.4753,0
2025-12-24T08:34:48.5998851Z,-0.330607,0.064617,1.495435,0.14598,0.093002,1.462192,0
2025-12-24T08:34:48.6642212Z,-0.332238,0.060939,1.496131,0.151988,0.087155,1.463675,0
2025-12-24T08:34:48.7256146Z,-0.331677,0.058534,1.495912,0.151015,0.08413,1.468026,0
2025-12-24T08:34:48.7882067Z,-0.330554,0.056154,1.494939,0.153928,0.080064,1.47147,0
2025-12-24T08:34:48.8501492Z,-0.332265,0.051635,1.496345,0.168938,0.073286,1.468486,0
2025-12-24T08:34:48.9134167Z,-0.256953,0.051942,1.491861,0.161244,0.071752,1.476251,0
2025-12-24T08:34:48.9750848Z,-0.286603,0.041584,1.493199,0.161175,0.07106,1.476501,0
2025-12-24T08:34:49.0380139Z,-0.286719,0.041294,1.49291,0.155389,0.075196,1.473369,0
2025-12-24T08:34:49.1009081Z,-0.262007,0.027923,1.488716,0.171165,0.068661,1.472004,0
2025-12-24T08:34:49.1650817Z,-0.264353,0.013295,1.486253,0.15674,0.070479,1.478566,0
2025-12-24T08:34:49.2263247Z,-0.262509,0.011896,1.486512,0.18674,0.070972,1.471276,0
2025-12-24T08:34:49.2906343Z,-0.263085,0.01132,1.486221,0.178,0.090361,1.494089,0
2025-12-24T08:34:49.3522222Z,-0.264566,0.011277,1.486319,0.158052,0.068215,1.489911,0
2025-12-24T08:34:49.4143585Z,-0.265488,0.010934,1.486025,0.167306,0.068837,1.473196,0
2025-12-24T08:34:49.4860469Z,-0.262086,0.004906,1.484905,0.168171,0.068316,1.473572,0
2025-12-24T08:34:49.5398936Z,-0.258875,0.002439,1.484424,0.183078,0.070944,1.471482,0
2025-12-24T08:34:49.6016201Z,-0.258875,0.002439,1.484424,0.183078,0.070944,1.471482,0
2025-12-24T08:34:49.6626676Z,-0.25951,-0.000311,1.483021,0.183423,0.072105,1.471094,0
2025-12-24T08:34:49.7297193Z,-0.25951,-0.000311,1.483021,0.183423,0.072105,1.471094,0
2025-12-24T08:34:49.7907632Z,-0.256447,-0.00752,1.481228,0.184784,0.074246,1.471439,0
2025-12-24T08:34:49.8520532Z,-0.254823,-0.009125,1.479792,0.185925,0.076157,1.471951,0
2025-12-24T08:34:49.9129288Z,-0.255269,-0.012291,1.480013,0.186317,0.076739,1.471671,0
2025-12-24T08:34:49.9763598Z,-0.271338,-0.007223,1.475691,0.18639,0.076791,1.471676,0
2025-12-24T08:34:50.0387541Z,-0.25588,-0.013928,1.478997,0.186375,0.077097,1.471853,0
2025-12-24T08:34:50.1006734Z,-0.254755,-0.013136,1.476854,0.187065,0.076463,1.471948,0
2025-12-24T08:34:50.1626905Z,-0.255188,-0.013958,1.477594,0.186692,0.076822,1.471485,0
2025-12-24T08:34:50.2282214Z,-0.254895,-0.014295,1.477236,0.17809,0.094923,1.499865,0
2025-12-24T08:34:50.2907894Z,-0.307,0.01712,1.47318,0.186366,0.076117,1.471477,0
2025-12-24T08:34:50.3510964Z,-0.303128,0.01122,1.473665,0.186074,0.075805,1.470785,0
2025-12-24T08:34:50.4143293Z,-0.303794,0.01214,1.47386,0.186306,0.076003,1.470391,0
2025-12-24T08:34:50.4756865Z,-0.302098,0.008872,1.474081,0.186785,0.076142,1.4703,0
2025-12-24T08:34:50.5413579Z,-0.304326,0.010872,1.473926,0.187913,0.077118,1.470329,0
2025-12-24T08:34:50.6037104Z,-0.3053,0.011894,1.474247,0.189036,0.078271,1.470226,0
2025-12-24T08:34:50.6647641Z,-0.257278,-0.01597,1.476116,0.197995,0.076219,1.463732,0
2025-12-24T08:34:50.7249549Z,-0.255874,-0.011753,1.47565,0.192277,0.079883,1.469144,0
2025-12-24T08:34:50.7896136Z,-0.259722,-0.013982,1.478171,0.185287,0.098886,1.493353,0
2025-12-24T08:34:50.8511891Z,-0.260878,-0.013919,1.478034,0.185747,0.099501,1.492796,0
2025-12-24T08:34:50.9132321Z,-0.262389,-0.012932,1.477748,0.186263,0.099528,1.492561,0
2025-12-24T08:34:50.9783090Z,-0.263626,-0.012089,1.477706,0.186734,0.099556,1.492002,0
2025-12-24T08:34:51.0392320Z,-0.264578,-0.011329,1.477678,0.18684,0.099584,1.49185,0
2025-12-24T08:34:51.0998568Z,-0.264575,-0.009191,1.477845,0.18679,0.099806,1.491704,0
2025-12-24T08:34:51.1645469Z,-0.265637,-0.009746,1.478258,0.187431,0.099002,1.492181,0
2025-12-24T08:34:51.2261375Z,-0.266046,-0.009853,1.478448,0.187566,0.098983,1.491922,0
2025-12-24T08:34:51.2879841Z,-0.266508,-0.009894,1.478445,0.187463,0.099027,1.491829,0
2025-12-24T08:34:51.3522247Z,-0.267007,-0.010078,1.47859,0.187271,0.099026,1.491575,0
2025-12-24T08:34:51.4138068Z,-0.267242,-0.010098,1.478308,0.187614,0.098907,1.491138,0
2025-12-24T08:34:51.4778732Z,-0.267306,-0.010563,1.477607,0.187457,0.099047,1.491031,0
2025-12-24T08:34:51.5386730Z,-0.26764,-0.010531,1.477761,0.227671,0.060989,1.462536,0
2025-12-24T08:34:51.6014544Z,-0.26784,-0.010517,1.477593,0.227219,0.061339,1.461935,0
2025-12-24T08:34:51.6632924Z,-0.268258,-0.010497,1.478071,0.195473,0.080935,1.467561,0
2025-12-24T08:34:51.7260284Z,-0.268601,-0.01046,1.477983,0.195046,0.08101,1.468368,0
2025-12-24T08:34:51.7877720Z,-0.268948,-0.010776,1.477369,0.186871,0.10022,1.493022,0
2025-12-24T08:34:51.8533945Z,-0.269002,-0.010714,1.477705,0.18736,0.100544,1.493682,0
2025-12-24T08:34:51.9155365Z,-0.26904,-0.010647,1.477524,0.187393,0.100923,1.493881,0
2025-12-24T08:34:51.9763337Z,-0.269147,-0.010577,1.477579,0.18756,0.101177,1.494109,0
2025-12-24T08:34:52.0384781Z,-0.271947,-0.009084,1.477565,0.187562,0.101657,1.494863,0
2025-12-24T08:34:52.1003263Z,-0.271601,-0.009264,1.47769,0.187963,0.102257,1.495438,0
2025-12-24T08:34:52.1655602Z,-0.271623,-0.009158,1.477628,0.187933,0.102738,1.496088,0
2025-12-24T08:34:52.2254128Z,-0.272293,-0.009175,1.477559,0.188687,0.103535,1.495933,0
2025-12-24T08:34:52.2878153Z,-0.272687,-0.008911,1.477516,0.18932,0.103701,1.496551,0
2025-12-24T08:34:52.3531872Z,-0.272687,-0.008911,1.477516,0.18932,0.103701,1.496551,0
